State,District,Population,State_Match,District_Match,Banking_Outlets,Population_per_Bank,Banking_Access_Rank,Banking_Access_Category,Expected_Banking_Outlets,Banking_Outlet_Gap,Banking_Gap_Priority
WEST BENGAL,NORTH TWENTY FOUR PARGANAS,10009781,WEST BENGAL,NORTH 24 PARGANAS,651,15376.007680491552,365.0,Moderate Population per Bank,700.06,49.06,High Priority
ODISHA,BALESHWAR,2320529,ODISHA,BALESHWAR,151,15367.741721854305,366.0,Moderate Population per Bank,162.29,11.29,Low Priority
NCT OF DELHI,SOUTH,2731929,NCT OF DELHI,SOUTH DELHI,178,15347.91573033708,367.0,Moderate Population per Bank,191.06,13.06,Low Priority
WEST BENGAL,HUGLI,5519145,WEST BENGAL,HUGLI,361,15288.490304709141,368.0,Moderate Population per Bank,385.99,24.99,Moderate Priority
ODISHA,BARGARH,1481255,ODISHA,BARGARH,97,15270.670103092783,369.0,Moderate Population per Bank,103.6,6.6,Low Priority
CHHATTISGARH,DURG,3343872,CHHATTISGARH,DURG,219,15268.82191780822,370.0,Moderate Population per Bank,233.86,14.86,Low Priority
UTTAR PRADESH,GORAKHPUR,4440895,UTTAR PRADESH,GORAKHPUR,291,15260.807560137457,371.0,Moderate Population per Bank,310.58,19.58,Moderate Priority
MANIPUR,CHURACHANDPUR,274143,MANIPUR,CHURACHANDPUR,18,15230.166666666666,372.0,Moderate Population per Bank,19.17,1.17,Low Priority
RAJASTHAN,JAISALMER,669919,RAJASTHAN,JAISALMER,44,15225.431818181818,373.0,Moderate Population per Bank,46.85,2.85,Low Priority
KARNATAKA,GADAG,1064570,KARNATAKA,GADAG,70,15208.142857142857,374.0,Moderate Population per Bank,74.45,4.45,Low Priority
ANDHRA PRADESH,ANANTAPUR,4081148,ANDHRA PRADESH,ANANTHAPURAMU,269,15171.553903345724,375.0,Moderate Population per Bank,285.42,16.42,Moderate Priority
TAMIL NADU,CUDDALORE,2605914,TAMIL NADU,CUDDALORE,172,15150.662790697674,376.0,Moderate Population per Bank,182.25,10.25,Low Priority
RAJASTHAN,TONK,1421326,RAJASTHAN,TONK,94,15120.489361702128,377.0,Moderate Population per Bank,99.4,5.4,Low Priority
KARNATAKA,BAGALKOT,1889752,KARNATAKA,BAGALKOTE,125,15118.016,378.0,Moderate Population per Bank,132.16,7.16,Low Priority
ODISHA,DHENKANAL,1192811,ODISHA,DHENKANAL,79,15098.87341772152,379.0,Moderate Population per Bank,83.42,4.42,Low Priority
JAMMU & KASHMIR,REASI,314667,JAMMU & KASHMIR,REASI,21,14984.142857142857,380.0,Moderate Population per Bank,22.01,1.01,Low Priority
TAMIL NADU,VIRUDHUNAGAR,1942288,TAMIL NADU,VIRUDHUNAGAR,130,14940.676923076922,381.0,Moderate Population per Bank,135.84,5.84,Low Priority
JHARKHAND,LOHARDAGA,461790,JHARKHAND,LOHARDAGGA,31,14896.451612903225,382.0,Moderate Population per Bank,32.3,1.3,Low Priority
ODISHA,KENDUJHAR,1801733,ODISHA,KEONJHAR,121,14890.355371900827,383.0,Moderate Population per Bank,126.01,5.01,Low Priority
MAHARASHTRA,BHANDARA,1200334,MAHARASHTRA,BHANDARA,81,14818.938271604939,384.0,Moderate Population per Bank,83.95,2.95,Low Priority
JHARKHAND,DEOGHAR,1492073,JHARKHAND,DEOGHAR,101,14773.0,385.0,Moderate Population per Bank,104.35,3.35,Low Priority
MADHYA PRADESH,NARSIMHAPUR,1091854,MADHYA PRADESH,NARSIMHAPUR,74,14754.783783783783,386.0,Moderate Population per Bank,76.36,2.36,Low Priority
MADHYA PRADESH,BETUL,1575362,MADHYA PRADESH,BETUL,108,14586.685185185184,387.0,Moderate Population per Bank,110.18,2.18,Low Priority
ANDHRA PRADESH,KARIMNAGAR,3776269,ANDHRA PRADESH,KARIMNAGAR,260,14524.111538461539,388.0,Moderate Population per Bank,264.1,4.1,Low Priority
UTTAR PRADESH,GHAZIABAD,4681645,UTTAR PRADESH,GHAZIABAD,323,14494.256965944272,389.0,Moderate Population per Bank,327.42,4.42,Low Priority
ANDHRA PRADESH,WARANGAL,3512576,ANDHRA PRADESH,WARANGAL,243,14455.045267489711,390.0,Moderate Population per Bank,245.66,2.66,Low Priority
TAMIL NADU,SALEM,3482056,TAMIL NADU,SALEM,241,14448.365145228216,391.0,Moderate Population per Bank,243.53,2.53,Low Priority
ODISHA,GAJAPATI,577817,ODISHA,GAJAPATI,40,14445.425,392.0,Moderate Population per Bank,40.41,0.41,Low Priority
ANDHRA PRADESH,KURNOOL,4053463,ANDHRA PRADESH,KURNOOL,281,14425.135231316726,393.0,Moderate Population per Bank,283.49,2.49,Low Priority
MADHYA PRADESH,UJJAIN,1986864,MADHYA PRADESH,UJJAIN,138,14397.565217391304,394.0,Moderate Population per Bank,138.96,0.96,Low Priority
ASSAM,TINSUKIA,1327929,ASSAM,TINSUKIA,93,14278.806451612903,395.0,Moderate Population per Bank,92.87,-0.13,No Gap
ASSAM,DIMA HASAO,214102,ASSAM,DIMA HASAO,15,14273.466666666667,396.0,Moderate Population per Bank,14.97,-0.03,No Gap
TRIPURA,WEST TRIPURA,1725739,TRIPURA,WEST TRIPURA,121,14262.305785123966,397.0,Moderate Population per Bank,120.69,-0.31,No Gap
ODISHA,BAUDH,441162,ODISHA,BOUDH,31,14231.032258064517,398.0,Moderate Population per Bank,30.85,-0.15,No Gap
JAMMU & KASHMIR,KARGIL,140802,LADAKH,KARGIL,10,14080.2,399.0,Moderate Population per Bank,9.85,-0.15,No Gap
CHHATTISGARH,RAIPUR,4063872,CHHATTISGARH,RAIPUR,289,14061.840830449826,400.0,Moderate Population per Bank,284.22,-4.78,No Gap
ODISHA,JAJAPUR,1827192,ODISHA,JAJPUR,130,14055.323076923078,401.0,Moderate Population per Bank,127.79,-2.21,No Gap
JHARKHAND,KODARMA,716259,JHARKHAND,KODERMA,51,14044.29411764706,402.0,Moderate Population per Bank,50.09,-0.91,No Gap
RAJASTHAN,AJMER,2583052,RAJASTHAN,AJMER,184,14038.326086956522,403.0,Moderate Population per Bank,180.65,-3.35,No Gap
ANDHRA PRADESH,KHAMMAM,2797370,ANDHRA PRADESH,KHAMMAM,200,13986.85,404.0,Moderate Population per Bank,195.64,-4.36,No Gap
PUDUCHERRY,PUDUCHERRY,950289,PUDUCHERRY,PUDUCHERRY,68,13974.838235294117,405.0,Moderate Population per Bank,66.46,-1.54,No Gap
ARUNACHAL PRADESH,LOWER SUBANSIRI,83030,ARUNACHAL PRADESH,LOWER SUBANSIRI,6,13838.333333333334,406.0,Moderate Population per Bank,5.81,-0.19,No Gap
KARNATAKA,TUMKUR,2678980,KARNATAKA,TUMAKURU,194,13809.175257731958,407.0,Moderate Population per Bank,187.36,-6.64,No Gap
KARNATAKA,CHAMARAJANAGAR,1020791,KARNATAKA,CHAMARAJANAGAR,74,13794.472972972973,408.0,Moderate Population per Bank,71.39,-2.61,No Gap
KARNATAKA,CHIKKABALLAPURA,1255104,KARNATAKA,CHIKKABALLAPURA,91,13792.351648351649,409.0,Moderate Population per Bank,87.78,-3.22,No Gap
UTTAR PRADESH,JHANSI,1998603,UTTAR PRADESH,JHANSI,145,13783.46896551724,410.0,Moderate Population per Bank,139.78,-5.22,No Gap
RAJASTHAN,JODHPUR,3687165,RAJASTHAN,JODHPUR,268,13758.078358208955,411.0,Moderate Population per Bank,257.87,-10.13,No Gap
MAHARASHTRA,AMRAVATI,2888445,MAHARASHTRA,AMRAVATI,210,13754.5,412.0,Moderate Population per Bank,202.01,-7.99,No Gap
TAMIL NADU,THIRUVARUR,1264277,TAMIL NADU,THIRUVARUR,92,13742.141304347826,413.0,Moderate Population per Bank,88.42,-3.58,No Gap
KARNATAKA,KOLAR,1536401,KARNATAKA,KOLAR,113,13596.469026548673,414.0,Moderate Population per Bank,107.45,-5.55,No Gap
NAGALAND,DIMAPUR,378811,NAGALAND,DIMAPUR,28,13528.964285714286,415.0,Moderate Population per Bank,26.49,-1.51,No Gap
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,54080,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,4,13520.0,416.0,Moderate Population per Bank,3.78,-0.22,No Gap
HARYANA,HISAR,1743931,HARYANA,HISAR,129,13518.84496124031,417.0,Moderate Population per Bank,121.97,-7.03,No Gap
JHARKHAND,SARAIKELA-KHARSAWAN,1065056,JHARKHAND,SERAIKELA-KHARSAWAN,80,13313.2,418.0,Moderate Population per Bank,74.49,-5.51,No Gap
MADHYA PRADESH,SEHORE,1311332,MADHYA PRADESH,SEHORE,99,13245.777777777777,419.0,Moderate Population per Bank,91.71,-7.29,No Gap
ANDAMAN & NICOBAR ISLANDS,NORTH & MIDDLE ANDAMAN,105597,ANDAMAN & NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,8,13199.625,420.0,Moderate Population per Bank,7.39,-0.61,No Gap
RAJASTHAN,HANUMANGARH,1774692,RAJASTHAN,HANUMANGARH,135,13145.866666666667,421.0,Moderate Population per Bank,124.12,-10.88,No Gap
ARUNACHAL PRADESH,EAST KAMENG,78690,ARUNACHAL PRADESH,EAST KAMENG,6,13115.0,422.0,Moderate Population per Bank,5.5,-0.5,No Gap
TAMIL NADU,THENI,1245899,TAMIL NADU,THENI,95,13114.726315789474,423.0,Moderate Population per Bank,87.13,-7.87,No Gap
TAMIL NADU,KRISHNAGIRI,1879809,TAMIL NADU,KRISHNAGIRI,144,13054.229166666666,424.0,Moderate Population per Bank,131.47,-12.53,No Gap
GUJARAT,AMRELI,1514190,GUJARAT,AMRELI,116,13053.362068965518,425.0,Moderate Population per Bank,105.9,-10.1,No Gap
JHARKHAND,HAZARIBAGH,1734495,JHARKHAND,HAZARIBAG,133,13041.315789473685,426.0,Moderate Population per Bank,121.31,-11.69,No Gap
MIZORAM,SERCHHIP,64937,MIZORAM,SERCHHIP,5,12987.4,427.0,Moderate Population per Bank,4.54,-0.46,No Gap
HARYANA,MAHENDRAGARH,922088,HARYANA,MAHENDRAGARH,71,12987.154929577464,428.0,Moderate Population per Bank,64.49,-6.51,No Gap
RAJASTHAN,SAWAI MADHOPUR,1335551,RAJASTHAN,SAWAI MADHOPUR,103,12966.514563106795,429.0,Moderate Population per Bank,93.4,-9.6,No Gap
KERALA,KANNUR,2523003,KERALA,KANNUR,195,12938.476923076923,430.0,Moderate Population per Bank,176.45,-18.55,No Gap
ODISHA,NAYAGARH,962789,ODISHA,NAYAGARH,75,12837.186666666666,431.0,Moderate Population per Bank,67.33,-7.67,No Gap
GUJARAT,KHEDA,2299885,GUJARAT,KHEDA,180,12777.138888888889,432.0,Moderate Population per Bank,160.85,-19.15,No Gap
PUNJAB,GURDASPUR,2298323,PUNJAB,GURDASPUR,180,12768.461111111112,433.0,Moderate Population per Bank,160.74,-19.26,No Gap
ANDHRA PRADESH,NALGONDA,3488809,ANDHRA PRADESH,NALGONDA,274,12732.879562043796,434.0,Moderate Population per Bank,244.0,-30.0,No Gap
MAHARASHTRA,MUMBAI SUBURBAN,9356962,MAHARASHTRA,MUMBAI SUBURBAN,738,12678.81029810298,435.0,Moderate Population per Bank,654.4,-83.6,No Gap
ODISHA,PURI,1698730,ODISHA,PURI,134,12677.089552238805,436.0,Moderate Population per Bank,118.8,-15.2,No Gap
MADHYA PRADESH,HOSHANGABAD,1241350,MADHYA PRADESH,NARMADAPURAM,98,12666.836734693878,437.0,Moderate Population per Bank,86.82,-11.18,No Gap
TAMIL NADU,PUDUKKOTTAI,1618345,TAMIL NADU,PUDUKKOTTAI,128,12643.3203125,438.0,Moderate Population per Bank,113.18,-14.82,No Gap
ODISHA,ANUGUL,1273821,ODISHA,ANUGUL,101,12612.089108910892,439.0,Moderate Population per Bank,89.09,-11.91,No Gap
ODISHA,GANJAM,3529031,ODISHA,GANJAM,281,12558.829181494662,440.0,Moderate Population per Bank,246.81,-34.19,No Gap
GUJARAT,SURAT,6081322,GUJARAT,SURAT,488,12461.725409836066,441.0,Moderate Population per Bank,425.31,-62.69,No Gap
MADHYA PRADESH,HARDA,570465,MADHYA PRADESH,HARDA,46,12401.41304347826,442.0,Moderate Population per Bank,39.9,-6.1,No Gap
JHARKHAND,BOKARO,2062330,JHARKHAND,BOKARO,167,12349.281437125748,443.0,Moderate Population per Bank,144.23,-22.77,No Gap
MEGHALAYA,RIBHOI,258840,MEGHALAYA,RI BHOI,21,12325.714285714286,444.0,Moderate Population per Bank,18.1,-2.9,No Gap
TAMIL NADU,KARUR,1064493,TAMIL NADU,KARUR,87,12235.551724137931,445.0,Moderate Population per Bank,74.45,-12.55,No Gap
ANDHRA PRADESH,MEDAK,3033288,ANDHRA PRADESH,MEDAK,248,12231.0,446.0,Moderate Population per Bank,212.14,-35.86,No Gap
HARYANA,KAITHAL,1074304,HARYANA,KAITHAL,88,12208.0,447.0,Moderate Population per Bank,75.13,-12.87,No Gap
UTTAR PRADESH,AGRA,4418797,UTTAR PRADESH,AGRA,365,12106.29315068493,448.0,Moderate Population per Bank,309.04,-55.96,No Gap
GUJARAT,VALSAD,1705678,GUJARAT,VALSAD,141,12097.00709219858,449.0,Moderate Population per Bank,119.29,-21.71,No Gap
TAMIL NADU,THANJAVUR,2405890,TAMIL NADU,THANJAVUR,199,12089.899497487437,450.0,Moderate Population per Bank,168.26,-30.74,No Gap
ASSAM,DIBRUGARH,1326335,ASSAM,DIBRUGARH,110,12057.59090909091,451.0,Moderate Population per Bank,92.76,-17.24,No Gap
RAJASTHAN,KOTA,1951014,RAJASTHAN,KOTA,162,12043.296296296296,452.0,Moderate Population per Bank,136.45,-25.55,No Gap
GUJARAT,RAJKOT,3804558,GUJARAT,RAJKOT,316,12039.740506329113,453.0,Moderate Population per Bank,266.08,-49.92,No Gap
ODISHA,DEBAGARH,312520,ODISHA,DEOGARH,26,12020.0,454.0,Moderate Population per Bank,21.86,-4.14,No Gap
TAMIL NADU,THOOTHUKKUDI,1750176,TAMIL NADU,TOOTHUKUDI,146,11987.506849315068,455.0,Moderate Population per Bank,122.4,-23.6,No Gap
UTTAR PRADESH,BAGHPAT,1303048,UTTAR PRADESH,BAGHPAT,109,11954.56880733945,456.0,Moderate Population per Bank,91.13,-17.87,No Gap
JHARKHAND,DHANBAD,2684487,JHARKHAND,DHANBAD,226,11878.261061946903,457.0,Moderate Population per Bank,187.75,-38.25,No Gap
ODISHA,JAGATSINGHAPUR,1136971,ODISHA,JAGATSINGHPUR,96,11843.447916666666,458.0,Moderate Population per Bank,79.52,-16.48,No Gap
ODISHA,SUNDARGARH,2093437,ODISHA,SUNDARGARH,177,11827.327683615818,459.0,Moderate Population per Bank,146.41,-30.59,No Gap
KERALA,KOZHIKODE,3086293,KERALA,KOZHIKODE,262,11779.74427480916,460.0,Moderate Population per Bank,215.85,-46.15,No Gap
RAJASTHAN,BIKANER,2363937,RAJASTHAN,BIKANER,202,11702.658415841584,461.0,Moderate Population per Bank,165.33,-36.67,No Gap
GUJARAT,MAHESANA,2035064,GUJARAT,MAHESANA,175,11628.937142857143,462.0,Moderate Population per Bank,142.33,-32.67,No Gap
KARNATAKA,MANDYA,1805769,KARNATAKA,MANDYA,156,11575.442307692309,463.0,Moderate Population per Bank,126.29,-29.71,No Gap
PUNJAB,SANGRUR,1655169,PUNJAB,SANGRUR,143,11574.608391608392,464.0,Moderate Population per Bank,115.76,-27.24,No Gap
ANDHRA PRADESH,NIZAMABAD,2551335,ANDHRA PRADESH,NIZAMABAD,221,11544.502262443439,465.0,Moderate Population per Bank,178.43,-42.57,No Gap
HARYANA,JIND,1334152,HARYANA,JIND,116,11501.310344827587,466.0,Moderate Population per Bank,93.31,-22.69,No Gap
KERALA,KASARAGOD,1307375,KERALA,KASARAGOD,114,11468.201754385966,467.0,Moderate Population per Bank,91.43,-22.57,No Gap
NAGALAND,MOKOKCHUNG,194622,NAGALAND,MOKOKCHUNG,17,11448.35294117647,468.0,Moderate Population per Bank,13.61,-3.39,No Gap
TAMIL NADU,DINDIGUL,2159775,TAMIL NADU,DINDIGUL,189,11427.380952380952,469.0,Moderate Population per Bank,151.05,-37.95,No Gap
MAHARASHTRA,WARDHA,1300774,MAHARASHTRA,WARDHA,115,11311.078260869564,470.0,Moderate Population per Bank,90.97,-24.03,No Gap
PUNJAB,TARN TARAN,1119627,PUNJAB,TARN TARAN,99,11309.363636363636,471.0,Moderate Population per Bank,78.3,-20.7,No Gap
UTTAR PRADESH,MATHURA,2547184,UTTAR PRADESH,MATHURA,226,11270.725663716814,472.0,Moderate Population per Bank,178.14,-47.86,No Gap
MANIPUR,IMPHAL WEST,517992,MANIPUR,IMPHAL WEST,46,11260.695652173914,473.0,Moderate Population per Bank,36.23,-9.77,No Gap
WEST BENGAL,DARJILING,1846823,WEST BENGAL,DARJILING,165,11192.866666666667,474.0,Moderate Population per Bank,129.16,-35.84,No Gap
ANDHRA PRADESH,EAST GODAVARI,5154296,ANDHRA PRADESH,EAST GODAVARI,461,11180.685466377441,475.0,Moderate Population per Bank,360.48,-100.52,No Gap
JHARKHAND,RAMGARH,949443,JHARKHAND,RAMGARH,85,11169.917647058823,476.0,Moderate Population per Bank,66.4,-18.6,No Gap
CHHATTISGARH,BIJAPUR,255230,CHHATTISGARH,BIJAPUR,23,11096.95652173913,477.0,Moderate Population per Bank,17.85,-5.15,No Gap
TAMIL NADU,TIRUPPUR,2479052,TAMIL NADU,TIRUPPUR,225,11018.00888888889,478.0,Moderate Population per Bank,173.38,-51.62,No Gap
HARYANA,JHAJJAR,958405,HARYANA,JHAJJAR,87,11016.149425287356,479.0,Moderate Population per Bank,67.03,-19.97,No Gap
NCT OF DELHI,SOUTH WEST,2292958,NCT OF DELHI,SOUTH-WEST DELHI,209,10971.09090909091,480.0,Moderate Population per Bank,160.36,-48.64,No Gap
KERALA,WAYANAD,817420,KERALA,WAYANAD,75,10898.933333333332,481.0,Lower Population per Bank,57.17,-17.83,No Gap
TAMIL NADU,PERAMBALUR,565223,TAMIL NADU,PERAMBALUR,52,10869.673076923076,482.0,Lower Population per Bank,39.53,-12.47,No Gap
TAMIL NADU,NAMAKKAL,1726601,TAMIL NADU,NAMAKKAL,159,10859.125786163522,483.0,Lower Population per Bank,120.75,-38.25,No Gap
GUJARAT,PORBANDAR,585449,GUJARAT,PORBANDAR,54,10841.648148148148,484.0,Lower Population per Bank,40.94,-13.06,No Gap
HARYANA,FATEHABAD,942011,HARYANA,FATEHABAD,87,10827.71264367816,485.0,Lower Population per Bank,65.88,-21.12,No Gap
HIMACHAL PRADESH,CHAMBA,519080,HIMACHAL PRADESH,CHAMBA,48,10814.166666666666,486.0,Lower Population per Bank,36.3,-11.7,No Gap
MADHYA PRADESH,GWALIOR,2032036,MADHYA PRADESH,GWALIOR,188,10808.702127659575,487.0,Lower Population per Bank,142.12,-45.88,No Gap
JHARKHAND,PURBI SINGHBHUM,2293919,JHARKHAND,PURBI SINGHBHUM,213,10769.57276995305,488.0,Lower Population per Bank,160.43,-52.57,No Gap
ANDHRA PRADESH,VIZIANAGARAM,2344474,ANDHRA PRADESH,VIZIANAGARAM,220,10656.7,489.0,Lower Population per Bank,163.97,-56.03,No Gap
ARUNACHAL PRADESH,ANJAW,21167,ARUNACHAL PRADESH,ANJAW,2,10583.5,490.0,Lower Population per Bank,1.48,-0.52,No Gap
UTTAR PRADESH,VARANASI,3676841,UTTAR PRADESH,VARANASI,351,10475.330484330485,491.0,Lower Population per Bank,257.15,-93.85,No Gap
HARYANA,SIRSA,1295189,HARYANA,SIRSA,124,10445.072580645161,492.0,Lower Population per Bank,90.58,-33.42,No Gap
KARNATAKA,RAMANAGARA,1082636,KARNATAKA,BENGALURU SOUTH,104,10409.961538461539,493.0,Lower Population per Bank,75.72,-28.28,No Gap
KERALA,KOLLAM,2635375,KERALA,KOLLAM,255,10334.803921568628,494.0,Lower Population per Bank,184.31,-70.69,No Gap
TAMIL NADU,ERODE,2251744,TAMIL NADU,ERODE,219,10281.93607305936,495.0,Lower Population per Bank,157.48,-61.52,No Gap
PUNJAB,MANSA,769751,PUNJAB,MANSA,75,10263.346666666666,496.0,Lower Population per Bank,53.83,-21.17,No Gap
MAHARASHTRA,RATNAGIRI,1615069,MAHARASHTRA,RATNAGIRI,159,10157.666666666666,497.0,Lower Population per Bank,112.95,-46.05,No Gap
MAHARASHTRA,PUNE,9429408,MAHARASHTRA,PUNE,931,10128.257787325456,498.0,Lower Population per Bank,659.47,-271.53,No Gap
HARYANA,REWARI,900332,HARYANA,REWARI,89,10116.08988764045,499.0,Lower Population per Bank,62.97,-26.03,No Gap
DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,343709,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DADRA&NAGAR HAVELI,34,10109.088235294117,500.0,Lower Population per Bank,24.04,-9.96,No Gap
KERALA,PALAKKAD,2809934,KERALA,PALAKKAD,279,10071.448028673834,501.0,Lower Population per Bank,196.52,-82.48,No Gap
DAMAN & DIU,DAMAN,191173,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DAMAN,19,10061.736842105263,502.0,Lower Population per Bank,13.37,-5.63,No Gap
UTTAR PRADESH,MEERUT,3443689,UTTAR PRADESH,MEERUT,343,10039.909620991253,503.0,Lower Population per Bank,240.84,-102.16,No Gap
UTTAR PRADESH,KANPUR NAGAR,4581268,UTTAR PRADESH,KANPUR NAGAR,458,10002.768558951964,504.0,Lower Population per Bank,320.4,-137.6,No Gap
KERALA,IDUKKI,1108974,KERALA,IDUKKI,112,9901.55357142857,505.0,Lower Population per Bank,77.56,-34.44,No Gap
KERALA,ALAPPUZHA,2127789,KERALA,ALAPUZHA,215,9896.693023255813,506.0,Lower Population per Bank,148.81,-66.19,No Gap
TAMIL NADU,TIRUCHIRAPPALLI,2722290,TAMIL NADU,TIRUCHIRAPALLI,276,9863.369565217392,507.0,Lower Population per Bank,190.39,-85.61,No Gap
KARNATAKA,MYSORE,3001127,KARNATAKA,MYSURU,305,9839.760655737706,508.0,Lower Population per Bank,209.89,-95.11,No Gap
KARNATAKA,DHARWAD,1847023,KARNATAKA,DHARWAD,188,9824.590425531915,509.0,Lower Population per Bank,129.18,-58.82,No Gap
GUJARAT,BHARUCH,1551019,GUJARAT,BHARUCH,158,9816.575949367088,510.0,Lower Population per Bank,108.47,-49.53,No Gap
TAMIL NADU,THE NILGIRIS,735394,TAMIL NADU,NILGIRIS,75,9805.253333333334,511.0,Lower Population per Bank,51.43,-23.57,No Gap
KERALA,THRISSUR,3121200,KERALA,THRISSUR,319,9784.326018808777,512.0,Lower Population per Bank,218.29,-100.71,No Gap
TAMIL NADU,MADURAI,3038252,TAMIL NADU,MADURAI,311,9769.299035369775,513.0,Lower Population per Bank,212.49,-98.51,No Gap
UTTARAKHAND,HARDWAR,1890422,UTTARAKHAND,HARIDWAR,194,9744.443298969072,514.0,Lower Population per Bank,132.21,-61.79,No Gap
RAJASTHAN,JAIPUR,6626178,RAJASTHAN,JAIPUR,682,9715.803519061583,515.0,Lower Population per Bank,463.42,-218.58,No Gap
MADHYA PRADESH,JABALPUR,2463289,MADHYA PRADESH,JABALPUR,257,9584.782101167315,516.0,Lower Population per Bank,172.28,-84.72,No Gap
GUJARAT,KACHCHH,2092371,GUJARAT,KACHCHH,220,9510.777272727273,517.0,Lower Population per Bank,146.33,-73.67,No Gap
MAHARASHTRA,NAGPUR,4653570,MAHARASHTRA,NAGPUR,492,9458.475609756097,518.0,Lower Population per Bank,325.46,-166.54,No Gap
MEGHALAYA,EAST KHASI HILLS,825922,MEGHALAYA,EAST KHASI HILLS,88,9385.477272727272,519.0,Lower Population per Bank,57.76,-30.24,No Gap
RAJASTHAN,GANGANAGAR,1969168,RAJASTHAN,GANGANAGAR,210,9376.990476190476,520.0,Lower Population per Bank,137.72,-72.28,No Gap
TAMIL NADU,KANNIYAKUMARI,1870374,TAMIL NADU,KANYAKUMARI,200,9351.87,521.0,Lower Population per Bank,130.81,-69.19,No Gap
KARNATAKA,HASSAN,1776421,KARNATAKA,HASSAN,190,9349.584210526316,522.0,Lower Population per Bank,124.24,-65.76,No Gap
ODISHA,JHARSUGUDA,579505,ODISHA,JHARSUGUDA,62,9346.854838709678,523.0,Lower Population per Bank,40.53,-21.47,No Gap
MIZORAM,KOLASIB,83955,MIZORAM,KOLASIB,9,9328.333333333334,524.0,Lower Population per Bank,5.87,-3.13,No Gap
UTTARAKHAND,BAGESHWAR,259898,UTTARAKHAND,BAGESHWAR,28,9282.07142857143,525.0,Lower Population per Bank,18.18,-9.82,No Gap
KARNATAKA,SHIMOGA,1752753,KARNATAKA,SHIVAMOGGA,189,9273.825396825398,526.0,Lower Population per Bank,122.58,-66.42,No Gap
ODISHA,CUTTACK,2624470,ODISHA,CUTTACK,283,9273.74558303887,527.0,Lower Population per Bank,183.55,-99.45,No Gap
ANDHRA PRADESH,WEST GODAVARI,3936966,ANDHRA PRADESH,WEST GODAVARI,426,9241.704225352112,528.0,Lower Population per Bank,275.34,-150.66,No Gap
NAGALAND,KOHIMA,267988,NAGALAND,KOHIMA,29,9240.965517241379,529.0,Lower Population per Bank,18.74,-10.26,No Gap
ANDAMAN & NICOBAR ISLANDS,NICOBARS,36842,ANDAMAN & NICOBAR ISLANDS,NICOBAR,4,9210.5,530.0,Lower Population per Bank,2.58,-1.42,No Gap
HARYANA,FARIDABAD,1809733,HARYANA,FARIDABAD,197,9186.46192893401,531.0,Lower Population per Bank,126.57,-70.43,No Gap
NCT OF DELHI,WEST,2543243,NCT OF DELHI,WEST DELHI,278,9148.356115107914,532.0,Lower Population per Bank,177.87,-100.13,No Gap
HARYANA,YAMUNANAGAR,1214205,HARYANA,YAMUNANAGAR,133,9129.36090225564,533.0,Lower Population per Bank,84.92,-48.08,No Gap
GUJARAT,VADODARA,4165626,GUJARAT,VADODARA,459,9075.437908496731,534.0,Lower Population per Bank,291.33,-167.67,No Gap
ARUNACHAL PRADESH,EAST SIANG,99214,ARUNACHAL PRADESH,EAST SIANG,11,9019.454545454546,535.0,Lower Population per Bank,6.94,-4.06,No Gap
GUJARAT,NAVSARI,1329672,GUJARAT,NAVSARI,148,8984.27027027027,536.0,Lower Population per Bank,92.99,-55.01,No Gap
GUJARAT,AHMADABAD,7214225,GUJARAT,AHMEDABAD,803,8984.09090909091,537.0,Lower Population per Bank,504.54,-298.46,No Gap
BIHAR,PATNA,5838465,BIHAR,PATNA,656,8900.099085365853,538.0,Lower Population per Bank,408.33,-247.67,No Gap
JAMMU & KASHMIR,SAMBA,318898,JAMMU & KASHMIR,SAMBA,36,8858.277777777777,539.0,Lower Population per Bank,22.3,-13.7,No Gap
ANDHRA PRADESH,KRISHNA,4517398,ANDHRA PRADESH,KRISHNA,513,8805.844054580897,540.0,Lower Population per Bank,315.93,-197.07,No Gap
JAMMU & KASHMIR,JAMMU,1529958,JAMMU & KASHMIR,JAMMU,174,8792.862068965518,541.0,Lower Population per Bank,107.0,-67.0,No Gap
UTTARAKHAND,PITHORAGARH,483439,UTTARAKHAND,PITHORAGARH,55,8789.8,542.0,Lower Population per Bank,33.81,-21.19,No Gap
PUNJAB,MUKTSAR,901896,PUNJAB,MUKTSAR,103,8756.271844660194,543.0,Lower Population per Bank,63.08,-39.92,No Gap
PUDUCHERRY,KARAIKAL,200222,PUDUCHERRY,KARAIKAL,23,8705.304347826086,544.0,Lower Population per Bank,14.0,-9.0,No Gap
GUJARAT,ANAND,2092745,GUJARAT,ANAND,242,8647.706611570247,545.0,Lower Population per Bank,146.36,-95.64,No Gap
UTTARAKHAND,UDHAM SINGH NAGAR,1648902,UTTARAKHAND,UDHAM SINGH NAGAR,192,8588.03125,546.0,Lower Population per Bank,115.32,-76.68,No Gap
