State,District,Population,State_Match,District_Match,Banking_Outlets,Population_per_Bank,Banking_Access_Rank,Banking_Access_Category,Expected_Banking_Outlets,Banking_Outlet_Gap,Banking_Gap_Priority
UTTAR PRADESH,BALLIA,3239774,UTTAR PRADESH,BALLIA,121,26774.99173553719,134.0,Very High Population per Bank,226.58,105.58,Very High Priority
BIHAR,BANKA,2034763,BIHAR,BANKA,76,26773.197368421053,135.0,Very High Population per Bank,142.31,66.31,High Priority
BIHAR,NALANDA,2877653,BIHAR,NALANDA,108,26644.935185185186,136.0,Very High Population per Bank,201.26,93.26,Very High Priority
MANIPUR,SENAPATI,479148,MANIPUR,SENAPATI,18,26619.333333333332,137.0,Very High Population per Bank,33.51,15.51,Low Priority
CHHATTISGARH,KABEERDHAM,822526,CHHATTISGARH,KABEERDHAM,31,26533.09677419355,138.0,Very High Population per Bank,57.53,26.53,Moderate Priority
BIHAR,SAMASTIPUR,4261566,BIHAR,SAMASTIPUR,161,26469.35403726708,139.0,Very High Population per Bank,298.04,137.04,Very High Priority
BIHAR,SHEOHAR,656246,BIHAR,SHEOHAR,25,26249.84,140.0,Very High Population per Bank,45.9,20.9,Moderate Priority
BIHAR,KAIMUR (BHABUA),1626384,BIHAR,KAIMUR,62,26232.0,141.0,Very High Population per Bank,113.75,51.75,High Priority
KARNATAKA,BELLARY,2452595,KARNATAKA,BALLARI,94,26091.436170212764,142.0,Very High Population per Bank,171.53,77.53,Very High Priority
RAJASTHAN,BANSWARA,1797485,RAJASTHAN,BANSWARA,69,26050.507246376812,143.0,Very High Population per Bank,125.71,56.71,High Priority
WEST BENGAL,MURSHIDABAD,7103807,WEST BENGAL,MURSHIDABAD,274,25926.30291970803,144.0,Very High Population per Bank,496.82,222.82,Very High Priority
UTTAR PRADESH,FATEHPUR,2632733,UTTAR PRADESH,FATEHPUR,102,25811.107843137255,145.0,Very High Population per Bank,184.13,82.13,Very High Priority
MADHYA PRADESH,UMARIA,644758,MADHYA PRADESH,UMARIA,25,25790.32,146.0,Very High Population per Bank,45.09,20.09,Moderate Priority
RAJASTHAN,PRATAPGARH,867848,RAJASTHAN,PRATAPGARH,34,25524.941176470587,147.0,Very High Population per Bank,60.69,26.69,Moderate Priority
ASSAM,LAKHIMPUR,1042137,ASSAM,LAKHIMPUR,41,25417.975609756097,148.0,Very High Population per Bank,72.88,31.88,Moderate Priority
BIHAR,AURANGABAD,2540073,BIHAR,AURANGABAD,100,25400.73,149.0,Very High Population per Bank,177.65,77.65,Very High Priority
NAGALAND,LONGLENG,50484,NAGALAND,LONGLENG,2,25242.0,150.0,Very High Population per Bank,3.53,1.53,Low Priority
UTTAR PRADESH,BASTI,2464464,UTTAR PRADESH,BASTI,98,25147.591836734693,151.0,Very High Population per Bank,172.36,74.36,Very High Priority
CHHATTISGARH,SURGUJA,2359886,CHHATTISGARH,SURGUJA,94,25105.17021276596,152.0,Very High Population per Bank,165.04,71.04,Very High Priority
JHARKHAND,SAHIBGANJ,1150567,JHARKHAND,SAHEBGANJ,46,25012.32608695652,153.0,Very High Population per Bank,80.47,34.47,High Priority
UTTAR PRADESH,ETAH,1774480,UTTAR PRADESH,ETAH,71,24992.676056338027,154.0,Very High Population per Bank,124.1,53.1,High Priority
UTTAR PRADESH,HARDOI,4092845,UTTAR PRADESH,HARDOI,164,24956.371951219513,155.0,Very High Population per Bank,286.24,122.24,Very High Priority
BIHAR,GAYA,4391418,BIHAR,GAYA,177,24810.271186440677,156.0,Very High Population per Bank,307.12,130.12,Very High Priority
MAHARASHTRA,LATUR,2454196,MAHARASHTRA,LATUR,99,24789.858585858587,157.0,Very High Population per Bank,171.64,72.64,Very High Priority
ASSAM,BONGAIGAON,738804,ASSAM,BONGAIGAON,30,24626.8,158.0,Very High Population per Bank,51.67,21.67,Moderate Priority
GUJARAT,SABAR KANTHA,2428589,GUJARAT,SABAR KANTHA,99,24531.20202020202,159.0,Very High Population per Bank,169.85,70.85,Very High Priority
UTTAR PRADESH,BARA BANKI,3260699,UTTAR PRADESH,BARA BANKI,133,24516.533834586466,160.0,Very High Population per Bank,228.04,95.04,Very High Priority
UTTAR PRADESH,PRATAPGARH,3209141,UTTAR PRADESH,PRATAPGARH,131,24497.25954198473,161.0,High Population per Bank,224.44,93.44,Very High Priority
MADHYA PRADESH,GUNA,1241519,MADHYA PRADESH,GUNA,51,24343.50980392157,162.0,High Population per Bank,86.83,35.83,High Priority
