State,District,Population,Banking_Outlets,Population_per_Bank
MADHYA PRADESH,SIDHI,1127033,38,29658.763157894737
MADHYA PRADESH,SINGRAULI,1178273,56,21040.589285714286
MADHYA PRADESH,JHABUA,1025048,27,37964.74074074074
MADHYA PRADESH,ALIRAJPUR,728999,18,40499.944444444445
MADHYA PRADESH,KHANDWA (EAST NIMAR),1310061,72,18195.291666666668
MADHYA PRADESH,BURHANPUR,757847,41,18484.073170731706
GUJARAT,KACHCHH,2092371,220,9510.777272727273
GUJARAT,BANAS KANTHA,3120506,88,35460.295454545456
GUJARAT,PATAN,1343734,64,20995.84375
GUJARAT,MAHESANA,2035064,175,11628.937142857143
GUJARAT,SABAR KANTHA,2428589,99,24531.20202020202
GUJARAT,GANDHINAGAR,1391753,204,6822.318627450981
GUJARAT,AHMADABAD,7214225,803,8984.09090909091
GUJARAT,SURENDRANAGAR,1756268,97,18105.855670103094
GUJARAT,RAJKOT,3804558,316,12039.740506329113
GUJARAT,JAMNAGAR,2160119,120,18000.991666666665
GUJARAT,PORBANDAR,585449,54,10841.648148148148
GUJARAT,JUNAGADH,2743082,137,20022.496350364963
GUJARAT,AMRELI,1514190,116,13053.362068965518
GUJARAT,BHAVNAGAR,2880365,153,18825.91503267974
GUJARAT,ANAND,2092745,242,8647.706611570247
GUJARAT,KHEDA,2299885,180,12777.138888888889
GUJARAT,PANCH MAHALS,2390776,87,27480.183908045976
GUJARAT,DOHAD,2127086,56,37983.67857142857
GUJARAT,VADODARA,4165626,459,9075.437908496731
GUJARAT,NARMADA,590297,35,16865.628571428573
GUJARAT,BHARUCH,1551019,158,9816.575949367088
GUJARAT,THE DANGS,228291,14,16306.5
GUJARAT,NAVSARI,1329672,148,8984.27027027027
GUJARAT,VALSAD,1705678,141,12097.00709219858
GUJARAT,SURAT,6081322,488,12461.725409836066
GUJARAT,TAPI,807022,47,17170.68085106383
DAMAN & DIU,DIU,52074,11,4734.0
DAMAN & DIU,DAMAN,191173,19,10061.736842105263
DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,343709,34,10109.088235294117
MAHARASHTRA,NANDURBAR,1648295,71,23215.422535211266
MAHARASHTRA,DHULE,2050862,98,20927.163265306124
MAHARASHTRA,JALGAON,4229917,207,20434.38164251208
MAHARASHTRA,BULDANA,2586258,133,19445.54887218045
MAHARASHTRA,AKOLA,1813906,108,16795.425925925927
MAHARASHTRA,WASHIM,1197160,52,23022.30769230769
MAHARASHTRA,AMRAVATI,2888445,210,13754.5
MAHARASHTRA,WARDHA,1300774,115,11311.078260869564
MAHARASHTRA,NAGPUR,4653570,492,9458.475609756097
MAHARASHTRA,BHANDARA,1200334,81,14818.938271604939
MAHARASHTRA,GONDIYA,1322507,63,20992.174603174604
MAHARASHTRA,GADCHIROLI,1072942,47,22828.55319148936
MAHARASHTRA,CHANDRAPUR,2204307,141,15633.382978723404
MAHARASHTRA,YAVATMAL,2772348,132,21002.636363636364
MAHARASHTRA,NANDED,3361292,119,28246.1512605042
MAHARASHTRA,HINGOLI,1177345,39,30188.333333333332
MAHARASHTRA,PARBHANI,1836086,57,32212.035087719298
MAHARASHTRA,JALNA,1959046,68,28809.5
MAHARASHTRA,AURANGABAD,3701282,203,18232.916256157634
MAHARASHTRA,NASHIK,6107187,390,15659.453846153847
MAHARASHTRA,THANE,11060148,567,19506.433862433863
MAHARASHTRA,MUMBAI SUBURBAN,9356962,738,12678.81029810298
MAHARASHTRA,MUMBAI,3085411,499,6183.188376753507
MAHARASHTRA,RAIGARH,2634200,327,8055.6574923547405
MAHARASHTRA,PUNE,9429408,931,10128.257787325456
MAHARASHTRA,AHMADNAGAR,4543159,295,15400.538983050847
MAHARASHTRA,BID,2585049,84,30774.39285714286
MAHARASHTRA,LATUR,2454196,99,24789.858585858587
MAHARASHTRA,OSMANABAD,1657576,61,27173.377049180326
MAHARASHTRA,SOLAPUR,4317756,230,18772.852173913045
MAHARASHTRA,SATARA,3003741,187,16062.786096256685
MAHARASHTRA,RATNAGIRI,1615069,159,10157.666666666666
MAHARASHTRA,SINDHUDURG,849651,113,7519.0353982300885
MAHARASHTRA,KOLHAPUR,3876001,234,16564.106837606836
MAHARASHTRA,SANGLI,2822143,163,17313.76073619632
ANDHRA PRADESH,ADILABAD,2741239,157,17460.12101910828
ANDHRA PRADESH,NIZAMABAD,2551335,221,11544.502262443439
ANDHRA PRADESH,KARIMNAGAR,3776269,260,14524.111538461539
ANDHRA PRADESH,MEDAK,3033288,248,12231.0
ANDHRA PRADESH,HYDERABAD,3943323,677,5824.701624815362
ANDHRA PRADESH,RANGAREDDY,5296741,770,6878.884415584415
ANDHRA PRADESH,MAHBUBNAGAR,4053028,193,21000.145077720208
ANDHRA PRADESH,NALGONDA,3488809,274,12732.879562043796
ANDHRA PRADESH,WARANGAL,3512576,243,14455.045267489711
ANDHRA PRADESH,KHAMMAM,2797370,200,13986.85
ANDHRA PRADESH,SRIKAKULAM,2703114,155,17439.44516129032
ANDHRA PRADESH,VIZIANAGARAM,2344474,220,10656.7
ANDHRA PRADESH,VISAKHAPATNAM,4290589,511,8396.455968688846
ANDHRA PRADESH,EAST GODAVARI,5154296,461,11180.685466377441
ANDHRA PRADESH,WEST GODAVARI,3936966,426,9241.704225352112
ANDHRA PRADESH,KRISHNA,4517398,513,8805.844054580897
ANDHRA PRADESH,GUNTUR,4887813,615,7947.663414634147
ANDHRA PRADESH,PRAKASAM,3397448,119,28549.983193277312
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,2963557,452,6556.54203539823
ANDHRA PRADESH,Y.S.R.,2882469,149,19345.42953020134
ANDHRA PRADESH,KURNOOL,4053463,281,14425.135231316726
ANDHRA PRADESH,ANANTAPUR,4081148,269,15171.553903345724
ANDHRA PRADESH,CHITTOOR,4174064,259,16116.07722007722
KARNATAKA,BELGAUM,4779661,302,15826.692052980132
KARNATAKA,BAGALKOT,1889752,125,15118.016
KARNATAKA,BIJAPUR,2177331,128,17010.3984375
KARNATAKA,BIDAR,1703300,87,19578.16091954023
KARNATAKA,RAICHUR,1928812,110,17534.654545454545
KARNATAKA,KOPPAL,1389920,77,18050.909090909092
KARNATAKA,GADAG,1064570,70,15208.142857142857
KARNATAKA,DHARWAD,1847023,188,9824.590425531915
KARNATAKA,UTTARA KANNADA,1437169,171,8404.497076023392
KARNATAKA,HAVERI,1597668,89,17951.325842696628
KARNATAKA,BELLARY,2452595,94,26091.436170212764
KARNATAKA,CHITRADURGA,1659456,89,18645.573033707864
KARNATAKA,DAVANAGERE,1945497,107,18182.21495327103
KARNATAKA,SHIMOGA,1752753,189,9273.825396825398
KARNATAKA,UDUPI,1177361,259,4545.795366795367
KARNATAKA,CHIKMAGALUR,1137961,142,8013.80985915493
KARNATAKA,TUMKUR,2678980,194,13809.175257731958
KARNATAKA,BANGALORE,9621551,1362,7064.2812041116
KARNATAKA,MANDYA,1805769,156,11575.442307692309
KARNATAKA,HASSAN,1776421,190,9349.584210526316
KARNATAKA,DAKSHINA KANNADA,2089649,386,5413.598445595855
KARNATAKA,KODAGU,554519,102,5436.4607843137255
KARNATAKA,MYSORE,3001127,305,9839.760655737706
KARNATAKA,CHAMARAJANAGAR,1020791,74,13794.472972972973
KARNATAKA,GULBARGA,2566326,134,19151.68656716418
KARNATAKA,YADGIR,1174271,55,21350.381818181817
KARNATAKA,KOLAR,1536401,113,13596.469026548673
KARNATAKA,CHIKKABALLAPURA,1255104,91,13792.351648351649
KARNATAKA,BANGALORE RURAL,990923,134,7394.94776119403
KARNATAKA,RAMANAGARA,1082636,104,10409.961538461539
GOA,NORTH GOA,818008,223,3668.1973094170403
GOA,SOUTH GOA,640537,182,3519.434065934066
LAKSHADWEEP,LAKSHADWEEP,64473,16,4029.5625
KERALA,KASARAGOD,1307375,114,11468.201754385966
KERALA,KANNUR,2523003,195,12938.476923076923
KERALA,WAYANAD,817420,75,10898.933333333332
KERALA,KOZHIKODE,3086293,262,11779.74427480916
KERALA,MALAPPURAM,4112920,208,19773.653846153848
KERALA,PALAKKAD,2809934,279,10071.448028673834
KERALA,THRISSUR,3121200,319,9784.326018808777
KERALA,ERNAKULAM,3282388,529,6204.89224952741
KERALA,IDUKKI,1108974,112,9901.55357142857
KERALA,KOTTAYAM,1974551,276,7154.170289855072
KERALA,ALAPPUZHA,2127789,215,9896.693023255813
KERALA,PATHANAMTHITTA,1197412,194,6172.226804123711
KERALA,KOLLAM,2635375,255,10334.803921568628
KERALA,THIRUVANANTHAPURAM,3301427,481,6863.673596673597
TAMIL NADU,THIRUVALLUR,3728104,216,17259.74074074074
TAMIL NADU,CHENNAI,4646732,980,4741.563265306122
TAMIL NADU,KANCHEEPURAM,3998252,126,31732.15873015873
TAMIL NADU,VELLORE,3936331,117,33643.8547008547
TAMIL NADU,TIRUVANNAMALAI,2464875,159,15502.358490566037
TAMIL NADU,VILUPPURAM,3458873,119,29066.159663865546
TAMIL NADU,SALEM,3482056,241,14448.365145228216
TAMIL NADU,NAMAKKAL,1726601,159,10859.125786163522
TAMIL NADU,ERODE,2251744,219,10281.93607305936
TAMIL NADU,THE NILGIRIS,735394,75,9805.253333333334
TAMIL NADU,DINDIGUL,2159775,189,11427.380952380952
TAMIL NADU,KARUR,1064493,87,12235.551724137931
TAMIL NADU,TIRUCHIRAPPALLI,2722290,276,9863.369565217392
TAMIL NADU,PERAMBALUR,565223,52,10869.673076923076
TAMIL NADU,ARIYALUR,754894,49,15406.0
TAMIL NADU,CUDDALORE,2605914,172,15150.662790697674
TAMIL NADU,NAGAPATTINAM,1616450,56,28865.178571428572
TAMIL NADU,THIRUVARUR,1264277,92,13742.141304347826
TAMIL NADU,THANJAVUR,2405890,199,12089.899497487437
TAMIL NADU,PUDUKKOTTAI,1618345,128,12643.3203125
TAMIL NADU,SIVAGANGA,1339101,159,8422.018867924528
TAMIL NADU,MADURAI,3038252,311,9769.299035369775
TAMIL NADU,THENI,1245899,95,13114.726315789474
TAMIL NADU,VIRUDHUNAGAR,1942288,130,14940.676923076922
TAMIL NADU,RAMANATHAPURAM,1353445,85,15922.882352941177
TAMIL NADU,THOOTHUKKUDI,1750176,146,11987.506849315068
TAMIL NADU,TIRUNELVELI,3077233,155,19853.11612903226
TAMIL NADU,KANNIYAKUMARI,1870374,200,9351.87
TAMIL NADU,DHARMAPURI,1506843,90,16742.7
TAMIL NADU,KRISHNAGIRI,1879809,144,13054.229166666666
TAMIL NADU,COIMBATORE,3458045,482,7174.367219917012
TAMIL NADU,TIRUPPUR,2479052,225,11018.00888888889
PUDUCHERRY,YANAM,55626,7,7946.571428571428
PUDUCHERRY,PUDUCHERRY,950289,68,13974.838235294117
PUDUCHERRY,MAHE,41816,9,4646.222222222223
PUDUCHERRY,KARAIKAL,200222,23,8705.304347826086
ANDAMAN & NICOBAR ISLANDS,NICOBARS,36842,4,9210.5
ANDAMAN & NICOBAR ISLANDS,NORTH & MIDDLE ANDAMAN,105597,8,13199.625
ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,238142,45,5292.044444444445
